0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
10 20 16 1 5 11 3 2 13 28 14 29 7 9 38 32 23 21 0 4 35 15 18 47 30 6 8 39 34 42 17 26 27 19 48 53 41 12 44 36 25 24 56 37 58 52 22 51 45 33 46 54 31 57 43 49 55 59 50 40
10 28 16 21 13 32 7 30 5 20 39 38 3 41 29 11 48 1 26 18 47 52 4 35 2 19 37 14 58 53 46 0 54 6 23 42 9 25 56 59 12 49 44 8 34 15 33 57 55 22 17 27 40 51 43 24 45 36 50 31
20 14 11 35 29 23 38 42 16 1 34 9 28 44 2 5 27 10 53 47 15 51 32 0 13 48 56 3 36 17 57 21 45 39 4 8 7 58 24 50 41 55 12 30 6 18 54 31 43 52 26 19 59 22 49 37 33 25 40 46
23 11 14 29 35 20 42 38 34 9 16 1 44 28 2 15 10 27 47 53 5 32 51 0 36 56 48 17 13 3 39 45 21 57 8 4 24 58 7 30 55 41 6 50 12 31 54 18 26 59 43 22 52 19 46 40 25 33 37 49
11 16 20 5 1 10 2 3 14 29 13 28 9 7 38 35 21 23 4 0 32 18 15 47 34 8 6 42 30 39 19 27 26 17 53 48 44 12 41 37 24 25 58 36 56 51 22 52 46 31 45 57 33 54 40 50 59 55 49 43
11 29 20 23 14 35 9 34 1 16 42 38 2 44 28 10 53 5 27 15 47 51 0 32 3 17 36 13 56 48 45 4 57 8 21 39 7 24 58 55 12 50 41 6 30 18 31 54 59 22 19 26 43 52 40 25 46 37 49 33
12 31 22 17 8 24 0 15 6 33 36 43 4 27 40 25 45 19 9 2 50 34 3 49 18 1 14 37 51 55 23 7 44 5 46 59 26 11 57 42 10 35 54 13 52 30 20 56 53 16 21 41 29 58 38 32 48 39 47 28
12 33 22 19 6 25 4 18 8 31 37 40 0 26 43 24 46 17 7 3 49 30 2 50 15 5 13 36 52 59 21 9 41 1 45 55 27 10 54 39 11 32 57 14 51 34 16 58 48 20 23 44 28 56 38 35 53 42 47 29
13 30 21 18 7 26 3 19 10 32 37 41 5 25 39 28 46 16 6 4 52 33 1 48 20 0 12 38 49 54 22 11 40 2 47 58 29 8 59 43 9 31 56 14 53 35 17 55 50 15 23 42 24 57 36 34 51 44 45 27
13 32 21 16 10 28 5 20 7 30 38 39 3 29 41 26 47 18 11 1 48 35 4 52 19 2 14 37 53 58 23 6 42 0 46 54 25 9 56 44 8 34 59 12 49 33 15 57 51 17 22 40 27 55 36 31 50 43 45 24
14 34 23 15 9 27 2 17 11 35 36 44 1 24 42 29 45 20 8 0 51 31 5 53 16 4 12 38 50 57 22 10 43 3 47 56 28 6 55 40 7 33 58 13 48 32 19 59 49 18 21 39 25 54 37 30 52 41 46 26
14 35 23 20 11 29 1 16 9 34 38 42 2 28 44 27 47 15 10 5 53 32 0 51 17 3 13 36 48 56 21 8 39 4 45 57 24 7 58 41 6 30 55 12 50 31 18 54 52 19 22 43 26 59 37 33 49 40 46 25
34 15 27 14 23 9 35 11 44 36 2 17 42 1 24 45 0 51 20 29 8 5 53 31 57 38 16 50 4 12 10 56 3 47 43 22 55 28 6 7 48 13 33 58 40 59 32 19 18 39 54 49 21 25 30 52 37 46 26 41
32 16 28 13 21 10 30 7 39 38 5 20 41 3 29 47 1 48 18 26 11 4 52 35 58 37 19 53 2 14 6 54 0 46 42 23 56 25 9 8 49 12 34 59 44 57 33 15 17 40 55 51 22 27 31 50 36 45 24 43
31 17 24 12 22 8 33 6 43 36 0 15 40 4 27 45 2 50 19 25 9 3 49 34 55 37 18 51 1 14 7 59 5 46 44 23 57 26 11 10 52 13 35 54 42 56 30 20 16 41 58 53 21 29 32 48 38 47 28 39
30 18 26 13 21 7 32 10 41 37 3 19 39 5 25 46 4 52 16 28 6 1 48 33 54 38 20 49 0 12 11 58 2 47 40 22 59 29 8 9 53 14 31 56 43 55 35 17 15 42 57 50 23 24 34 51 36 45 27 44
33 19 25 12 22 6 31 8 40 37 4 18 43 0 26 46 3 49 17 24 7 2 50 30 59 36 15 52 5 13 9 55 1 45 41 21 54 27 10 11 51 14 32 57 39 58 34 16 20 44 56 48 23 28 35 53 38 47 29 42
35 20 29 14 23 11 34 9 42 38 1 16 44 2 28 47 5 53 15 27 10 0 51 32 56 36 17 48 3 13 8 57 4 45 39 21 58 24 7 6 50 12 30 55 41 54 31 18 19 43 59 52 22 26 33 49 37 46 25 40
26 21 30 7 18 13 19 3 37 41 10 32 25 5 39 52 16 46 4 6 28 1 33 48 49 12 0 54 20 38 2 40 11 22 58 47 59 8 29 14 31 9 53 43 56 55 17 35 23 24 50 57 15 42 27 45 44 51 34 36
28 21 32 10 16 13 20 5 38 39 7 30 29 3 41 48 18 47 1 11 26 4 35 52 53 14 2 58 19 37 0 42 6 23 54 46 56 9 25 12 34 8 49 44 59 57 15 33 22 27 51 55 17 40 24 45 43 50 31 36
24 22 31 8 17 12 15 0 36 43 6 33 27 4 40 50 19 45 2 9 25 3 34 49 51 14 1 55 18 37 5 44 7 23 59 46 57 11 26 13 35 10 52 42 54 56 20 30 21 29 53 58 16 41 28 47 39 48 32 38
25 22 33 6 19 12 18 4 37 40 8 31 26 0 43 49 17 46 3 7 24 2 30 50 52 13 5 59 15 36 1 41 9 21 55 45 54 10 27 14 32 11 51 39 57 58 16 34 23 28 48 56 20 44 29 47 42 53 35 38
27 23 34 9 15 14 17 2 36 44 11 35 24 1 42 51 20 45 0 8 29 5 31 53 50 12 4 57 16 38 3 43 10 22 56 47 55 6 28 13 33 7 48 40 58 59 19 32 21 25 49 54 18 39 26 46 41 52 30 37
29 23 35 11 20 14 16 1 38 42 9 34 28 2 44 53 15 47 5 10 27 0 32 51 48 13 3 56 17 36 4 39 8 21 57 45 58 7 24 12 30 6 50 41 55 54 18 31 22 26 52 59 19 43 25 46 40 49 33 37
31 36 24 50 43 45 40 55 22 17 51 27 33 57 15 8 44 12 59 49 34 56 25 9 6 46 54 0 42 23 58 19 53 37 2 14 4 52 35 47 26 48 11 18 1 3 41 29 38 30 7 5 39 20 32 13 16 10 28 21
24 43 31 45 36 50 27 51 17 22 55 40 15 57 33 12 59 8 44 34 49 56 9 25 0 23 42 6 54 46 53 2 58 14 19 37 4 35 52 48 11 47 26 1 18 3 29 41 39 20 5 7 38 30 28 10 21 13 32 16
45 24 36 43 50 31 55 40 51 27 22 17 57 33 15 34 12 44 49 59 8 25 56 9 42 54 46 23 6 0 37 53 19 58 14 2 35 52 4 18 48 26 1 47 11 29 41 3 7 39 38 20 30 5 21 28 10 16 13 32
33 37 25 49 40 46 43 59 22 19 52 26 31 54 18 6 41 12 55 50 30 58 24 7 8 45 57 4 39 21 56 17 48 36 3 13 0 51 32 47 27 53 10 15 5 2 44 28 38 34 9 1 42 16 35 14 20 11 29 23
25 40 33 46 37 49 26 52 19 22 59 43 18 54 31 12 55 6 41 30 50 58 7 24 4 21 39 8 57 45 48 3 56 13 17 36 0 32 51 53 10 47 27 5 15 2 28 44 42 16 1 9 38 34 29 11 23 14 35 20
